date;merchant;amount;currency
2026-03-05;Аренда квартиры;-19000;RUB
2026-03-08;Домашний интернет;-790;RUB
2026-03-10;YANDEX*PLUS;-399;RUB
2026-03-12;ЖКХ;-6900;RUB
2026-03-15;MTS;-650;RUB
2026-03-17;NETFLIX;-699;RUB
2026-03-19;IVI;-399;RUB
2026-03-21;OPENAI CHATGPT;-1999;RUB
2026-03-23;SPOTIFY;-299;RUB
2026-03-25;ICLOUD;-149;RUB
2026-03-27;ADOBE;-999;RUB
2026-04-05;Аренда квартиры;-19000;RUB
2026-04-08;Домашний интернет;-790;RUB
2026-04-10;YANDEX*PLUS;-399;RUB
2026-04-12;ЖКХ;-7350;RUB
2026-04-15;MTS;-650;RUB
2026-04-17;NETFLIX;-699;RUB
2026-04-19;IVI;-399;RUB
2026-04-21;OPENAI CHATGPT;-1999;RUB
2026-04-23;SPOTIFY;-299;RUB
2026-04-25;ICLOUD;-149;RUB
2026-04-27;ADOBE;-999;RUB
2026-05-05;Аренда квартиры;-19000;RUB
2026-05-08;Домашний интернет;-790;RUB
2026-05-10;YANDEX*PLUS;-399;RUB
2026-05-12;ЖКХ;-7120;RUB
2026-05-15;MTS;-650;RUB
2026-05-17;NETFLIX;-699;RUB
2026-05-19;IVI;-399;RUB
2026-05-21;OPENAI CHATGPT;-1999;RUB
2026-05-23;SPOTIFY;-299;RUB
2026-05-25;ICLOUD;-149;RUB
2026-05-27;ADOBE;-999;RUB
2026-06-05;Аренда квартиры;-19000;RUB
2026-06-08;Домашний интернет;-790;RUB
2026-06-10;YANDEX*PLUS;-399;RUB
2026-06-12;ЖКХ;-7480;RUB
2026-06-15;MTS;-650;RUB
2026-06-17;NETFLIX;-699;RUB
2026-06-19;IVI;-399;RUB
2026-06-21;OPENAI CHATGPT;-1999;RUB
2026-06-23;SPOTIFY;-299;RUB
2026-06-25;ICLOUD;-149;RUB
2026-06-27;ADOBE;-999;RUB
2026-07-05;Аренда квартиры;-19000;RUB
2026-07-08;Домашний интернет;-790;RUB
2026-07-10;YANDEX*PLUS;-399;RUB
2026-07-12;ЖКХ;-7040;RUB
2026-07-15;MTS;-650;RUB
2026-07-17;NETFLIX;-699;RUB
2026-07-19;IVI;-399;RUB
2026-07-21;OPENAI CHATGPT;-1999;RUB
2026-07-23;SPOTIFY;-299;RUB
2026-07-25;ICLOUD;-149;RUB
2026-07-27;ADOBE;-999;RUB
2026-08-05;Аренда квартиры;-19000;RUB
2026-08-08;Домашний интернет;-790;RUB
2026-08-10;YANDEX*PLUS;-399;RUB
2026-08-12;ЖКХ;-7230;RUB
2026-08-15;MTS;-650;RUB
2026-08-17;NETFLIX;-899;RUB
2026-08-19;IVI;-399;RUB
2026-08-21;OPENAI CHATGPT;-1999;RUB
2026-08-23;SPOTIFY;-299;RUB
2026-08-25;ICLOUD;-149;RUB
2026-08-27;ADOBE;-999;RUB
2024-10-02;Страхование квартиры;-12000;RUB
2025-10-02;Страхование квартиры;-12000;RUB
2026-07-03;Покупка продуктов;-2150;RUB
2026-07-18;Аптека;-650;RUB
2026-08-04;Возврат товара;1250;RUB
